date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:01	76130/76130	---M-Z	200	added ('OK')	text/html	etag:%2212962-62f08ff4-21a83175e04e0620;gz%22	https://gigaland.io/index.html	gigaland.io/index.html	(from )
14:20:03	1159/1159	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:%22999-5d2431a6-5fa57fd48160545a;gz%22	https://gigaland.io/robots.txt		(from )
14:20:03	687/687	---M--	200	added ('OK')	image/png	etag:%222af-62baa56c-74b4a6b75d8b289d;;;%22	https://gigaland.io/images/icon.png	gigaland.io/images/icon.png	(from https://gigaland.io/index.html)
14:20:05	155799/155799	---M-Z	200	added ('OK')	text/css	etag:%2226097-62de90af-72ea6ef365dab931;gz%22	https://gigaland.io/css/bootstrap.min.css	gigaland.io/css/bootstrap.min.css	(from https://gigaland.io/index.html)
14:20:06	69725/69725	---M-Z	200	added ('OK')	text/css	etag:%221105d-62f4f508-106b2fdd3713099d;gz%22	https://gigaland.io/css/plugins.css	gigaland.io/css/plugins.css	(from https://gigaland.io/index.html)
14:20:07	294262/294262	---M-Z	200	added ('OK')	text/css	etag:%2247d76-62f4f50b-f38c9f4c47ddbe7b;gz%22	https://gigaland.io/css/style.css	gigaland.io/css/style.css	(from https://gigaland.io/index.html)
14:20:07	214/214	---M--	200	added ('OK')	text/css	etag:%22d6-62f4f512-b9ddd7cfc4c096b9;;;%22	https://gigaland.io/css/colors/scheme-12.css	gigaland.io/css/colors/scheme-12.css	(from https://gigaland.io/index.html)
14:20:08	3421/3421	---M-Z	200	added ('OK')	text/css	etag:%22d5d-62f4f65a-935a1eed1343b4b2;gz%22	https://gigaland.io/css/de-modern.css	gigaland.io/css/de-modern.css	(from https://gigaland.io/index.html)
14:20:09	11409/11409	---M-Z	200	added ('OK')	text/css	etag:%222c91-62f4f4ff-1fdaca485bc9a3db;gz%22	https://gigaland.io/css/coloring-gradient.css	gigaland.io/css/coloring-gradient.css	(from https://gigaland.io/index.html)
14:20:10	229/229	---M--	200	added ('OK')	text/css	etag:%22e5-62f4f501-9fede3dea28b0890;;;%22	https://gigaland.io/css/custom-font-3.css	gigaland.io/css/custom-font-3.css	(from https://gigaland.io/index.html)
14:20:12	3882/3882	---M--	200	added ('OK')	image/png	etag:%22f2a-62da6926-1f3c213e504cf5c2;;;%22	https://gigaland.io/images/logo-7-light.png	gigaland.io/images/logo-7-light.png	(from https://gigaland.io/index.html)
14:20:15	3942/3942	---M--	200	added ('OK')	image/png	etag:%22f66-62da6925-226110bf1c4671be;;;%22	https://gigaland.io/images/logo-7.png	gigaland.io/images/logo-7.png	(from https://gigaland.io/index.html)
14:20:16	73559/73559	---M-Z	200	added ('OK')	text/html	etag:%2211f57-62f09002-c48c7800b58d7c6c;gz%22	https://gigaland.io/wide_index-3.html	gigaland.io/wide_index-3.html	(from https://gigaland.io/index.html)
14:20:17	70035/70035	---M-Z	200	added ('OK')	text/html	etag:%2211193-62f09002-1e4f8f523bf065a8;gz%22	https://gigaland.io/wide_index-2.html	gigaland.io/wide_index-2.html	(from https://gigaland.io/index.html)
14:20:18	79528/79528	---M-Z	200	added ('OK')	text/html	etag:%22136a8-62f09004-c0068423786a99c8;gz%22	https://gigaland.io/wide_index.html	gigaland.io/wide_index.html	(from https://gigaland.io/index.html)
14:20:19	78238/78238	---M-Z	200	added ('OK')	text/html	etag:%221319e-62f08fd9-cc6f2bf65997a5b6;gz%22	https://gigaland.io/06_clivus-index.html	gigaland.io/06_clivus-index.html	(from https://gigaland.io/index.html)
14:20:20	78083/78083	---M-Z	200	added ('OK')	text/html	etag:%2213103-62f08fd7-8030e8debe248847;gz%22	https://gigaland.io/06_clivus-index-2.html	gigaland.io/06_clivus-index-2.html	(from https://gigaland.io/index.html)
14:20:21	70393/70393	---M-Z	200	added ('OK')	text/html	etag:%22112f9-62f08fd7-98a70953a23aaf74;gz%22	https://gigaland.io/06_clivus-index-3.html	gigaland.io/06_clivus-index-3.html	(from https://gigaland.io/index.html)
14:20:22	62831/62831	---M-Z	200	added ('OK')	text/html	etag:%22f56f-62f08fd9-7a627eb8bdb3cadd;gz%22	https://gigaland.io/06_clivus-index-4.html	gigaland.io/06_clivus-index-4.html	(from https://gigaland.io/index.html)
14:20:23	70159/70159	---M-Z	200	added ('OK')	text/html	etag:%221120f-62f08fec-5ac0d63d2aabd0de;gz%22	https://gigaland.io/index-1.html	gigaland.io/index-1.html	(from https://gigaland.io/index.html)
14:20:24	93180/93180	---M-Z	200	added ('OK')	text/html	etag:%2216bfc-62f08fed-abdb22e8d9d67d7f;gz%22	https://gigaland.io/index-2.html	gigaland.io/index-2.html	(from https://gigaland.io/index.html)
14:20:25	92931/92931	---M-Z	200	added ('OK')	text/html	etag:%2216b03-62f08fee-918887c935abcd74;gz%22	https://gigaland.io/index-3.html	gigaland.io/index-3.html	(from https://gigaland.io/index.html)
14:20:26	70506/70506	---M-Z	200	added ('OK')	text/html	etag:%221136a-62f08fef-46fae0812aad96f5;gz%22	https://gigaland.io/index-4.html	gigaland.io/index-4.html	(from https://gigaland.io/index.html)
14:20:27	68054/68054	---M-Z	200	added ('OK')	text/html	etag:%22109d6-62f08fef-58a19a843b8ae52d;gz%22	https://gigaland.io/index-5.html	gigaland.io/index-5.html	(from https://gigaland.io/index.html)
14:20:29	74273/74273	---M-Z	200	added ('OK')	text/html	etag:%2212221-62f08ff1-8c860f62e8ab61a4;gz%22	https://gigaland.io/index-6.html	gigaland.io/index-6.html	(from https://gigaland.io/index.html)
14:20:31	75885/75885	---M-Z	200	added ('OK')	text/html	etag:%221286d-62f08ff1-8b5c7a2229cdf289;gz%22	https://gigaland.io/index-7.html	gigaland.io/index-7.html	(from https://gigaland.io/index.html)
14:20:32	74366/74366	---M-Z	200	added ('OK')	text/html	etag:%221227e-62f08ff2-b1167bbbb076102c;gz%22	https://gigaland.io/index-8.html	gigaland.io/index-8.html	(from https://gigaland.io/index.html)
14:20:32	70862/70862	---M-Z	200	added ('OK')	text/html	etag:%22114ce-62f08ff3-b9ef45d7aef9737a;gz%22	https://gigaland.io/index-9.html	gigaland.io/index-9.html	(from https://gigaland.io/index.html)
14:20:33	61996/61996	---M-Z	200	added ('OK')	text/html	etag:%22f22c-62f08f9d-634e609fd691c2ed;gz%22	https://gigaland.io/02_dark-index.html	gigaland.io/02_dark-index.html	(from https://gigaland.io/index.html)
14:20:34	87810/87810	---M-Z	200	added ('OK')	text/html	etag:%2215702-62f08f9a-d70934f0413b43c3;gz%22	https://gigaland.io/02_dark-index-2.html	gigaland.io/02_dark-index-2.html	(from https://gigaland.io/index.html)
